TEAM,CONF,CONF WINS,CONF LOSS,CONF PCT,HOME,HOME CONF WIN,HOME CONF LOSS,AWAY,AWAY WIN,AWAY LOSS,OVR,OVR WINS,OVR LOSS,OVR PCT,OVR HOME,OVR HOME WIN,OVR HOME LOSS,OVR AWAY,OVR AWAY WIN,OVR AWAY LOSS,NTRL,NTRL WINS,NTRL LOSS,CAPACITY,HOME WIN RATE,Z HOME WIN RATE,Z CAPACITY,DIFFICULTY INDEX,DIFFICULTY TIER
Oregon,17-1,17,1,94.4%,8-1,8,1,9-0,9,0,26-3,26,3,89.7%,14-1,14,1,10-0,10,0,2-2,2,2,54000,0.933333333,1.459749571,-0.891614285,0.568135286,High Difficulty
Ohio State,40-5,40,5,88.9%,20-2,20,2,20-3,20,3,59-10,59,10,85.5%,34-3,34,3,21-3,21,3,4-4,4,4,102780,0.918918919,1.380748493,1.509225399,2.889973892,High Difficulty
Michigan,38-7,38,7,84.4%,20-2,20,2,18-5,18,5,57-12,57,12,82.6%,33-3,33,3,18-6,18,6,6-3,6,3,107601,0.916666667,1.368404575,1.746503958,3.114908533,High Difficulty
Penn State,29-16,29,16,64.4%,14-8,14,8,14-8,14,8,48-20,48,20,70.6%,28-8,28,8,16-8,16,8,4-4,4,4,106572,0.777777778,0.60719628,1.695858939,2.303055219,High Difficulty
Iowa,31-14,31,14,68.9%,17-6,17,6,14-8,14,8,45-22,45,22,67.2%,27-8,27,8,16-9,16,9,2-5,2,5,69250,0.771428571,0.572398187,-0.141044273,0.431353914,Medium Difficulty
Minnesota,24-21,24,21,53.3%,14-9,14,9,10-12,10,12,40-25,40,25,61.5%,24-11,24,11,11-14,11,14,5-0,5,0,50805,0.685714286,0.102623925,-1.048864854,-0.94624093,Low Difficulty
USC,11-7,11,7,61.1%,8-1,8,1,3-6,3,6,16-10,16,10,61.5%,11-2,11,2,3-7,3,7,2-1,2,1,77500,0.846153846,0.981944979,0.265001799,1.246946778,High Difficulty
Illinois,23-22,23,22,51.1%,12-11,12,11,11-11,11,11,37-26,37,26,58.7%,23-12,23,12,12-13,12,13,2-1,2,1,60670,0.657142857,-0.053967496,-0.563332188,-0.617299684,Medium Difficulty
Washington,9-9,9,9,50.0%,7-2,7,2,2-7,2,7,15-11,15,11,57.7%,11-2,11,2,3-7,3,7,1-2,1,2,70083,0.846153846,0.981944979,-0.100045924,0.881899055,High Difficulty
Indiana,20-25,20,25,44.4%,11-11,11,11,9-14,9,14,35-29,35,29,54.7%,22-12,22,12,10-16,10,16,3-1,3,1,52626,0.647058824,-0.109235056,-0.959239412,-1.068474468,Low Difficulty
Wisconsin,20-25,20,25,44.4%,10-13,10,13,10-12,10,12,32-31,32,31,50.8%,20-15,20,15,10-14,10,14,2-2,2,2,75822,0.571428571,-0.523741758,0.182414489,-0.341327269,Medium Difficulty
Maryland,13-32,13,32,28.9%,6-16,6,16,7-16,7,16,31-32,31,32,49.2%,19-16,19,16,9-16,9,16,3-0,3,0,51802,0.542857143,-0.680333179,-0.999794802,-1.68012798,Low Difficulty
Michigan State,16-29,16,29,35.6%,10-11,10,11,6-17,6,17,29-32,29,32,47.5%,21-12,21,12,7-19,7,19,1-1,1,1,75005,0.636363636,-0.167852166,0.142203623,-0.025648542,Medium Difficulty
Rutgers,12-33,12,33,26.7%,6-16,6,16,6-17,6,17,28-35,28,35,44.4%,17-16,17,16,10-17,10,17,1-2,1,2,52454,0.515151515,-0.832179405,-0.967704858,-1.799884262,Low Difficulty
Nebraska,14-31,14,31,31.1%,8-15,8,15,6-15,6,15,26-36,26,36,41.9%,18-17,18,17,6-17,6,17,2-2,2,2,90000,0.514285714,-0.836924599,0.88022312,0.043298521,Medium Difficulty
Purdue,15-30,15,30,33.3%,8-15,8,15,6-15,6,15,24-39,24,39,38.1%,14-18,14,18,8-19,8,19,2-2,2,2,61441,0.4375,-1.257764042,-0.525385337,-1.783149379,Low Difficulty
Northwestern,13-32,13,32,28.9%,7-14,7,14,5-17,5,17,23-39,23,39,37.1%,15-18,15,18,5-20,5,29,3-1,3,1,47130,0.454545455,-1.164343024,-1.229739923,-2.394082947,Low Difficulty
UCLA,6-12,6,12,33.3%,3-6,3,6,3-6,3,6,8-16,8,16,33.3%,4-8,4,8,4-8,4,8,0-0,0,0,92542,0.333333333,-1.828670264,1.005334528,-0.823335736,Medium Difficulty
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd PERCENTILE,-0.871268761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,67th PERCENTILE,0.484698649

Remove old standings CSV
